,0
0,https://lnb.com.br/noticias/corinthians-84-x-97-sao-paulo/
1,https://lnb.com.br/noticias/mogi-85-x-79-corinthians/
2,https://lnb.com.br/noticias/sao-jose-70-x-85-corinthians/
3,https://lnb.com.br/noticias/sesi-franca-basquete-86-x-80-sao-jose/
4,https://lnb.com.br/noticias/basquete-cearense-77-x-81-sao-jose-basketball/
5,https://lnb.com.br/noticias/paulistano-77-x-76-unifacisa/
6,https://lnb.com.br/noticias/pinheiros-83-x-82-unifacisa/
7,https://lnb.com.br/noticias/sendi-bauru-basket-66-x-79-flamengo/
8,https://lnb.com.br/noticias/sao-paulo-95-x-106-rio-claro/
9,https://lnb.com.br/noticias/pato-basquete-76-x-79-bauru-basket/
10,https://lnb.com.br/noticias/brasilia-76-x-73-pato-basquete/
11,https://lnb.com.br/noticias/paulistano-73-x-72-botafogo/
12,https://lnb.com.br/noticias/flamengo-83-x-77-unifacisa/
13,https://lnb.com.br/noticias/flamengo-78-x-71-basquete-cearense/
14,https://lnb.com.br/noticias/unifacisa-86-x-92-franca/
15,https://lnb.com.br/noticias/flamengo-93-x-82-pinheiros/
16,https://lnb.com.br/noticias/mogi-83-x-94-paulistano/
