,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
11,19,São Paulo,UNIFACISA,2,Danilo,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
12,19,São Paulo,UNIFACISA,2,Equipe,0.0,106,190,21,37,11,24,21,31,6,30,36,25.0,2.0,1.0,16.0,27.0,14,1.0
0,19,Pinheiros,Brasília,1,Dawkins,33.0,18,38,3,9,4,5,1,1,0,4,4,7.0,0.0,0.0,1.0,2.0,2,0.0
1,19,Pinheiros,Brasília,1,L. Cauê,23.5,15,19,0,0,7,9,1,1,3,10,13,2.0,1.0,0.0,4.0,1.0,0,1.0
2,19,Pinheiros,Brasília,1,C. Torres,21.9,15,18,3,4,3,3,0,0,1,2,3,3.0,1.0,0.0,3.0,1.0,1,0.0
3,19,Pinheiros,Brasília,1,Bennett,21.6,15,18,0,1,7,7,1,1,0,0,0,7.0,1.0,0.0,3.0,1.0,0,0.0
4,19,Pinheiros,Brasília,1,Isaac,18.5,11,19,3,5,1,2,0,0,0,2,2,1.0,2.0,0.0,1.0,0.0,2,1.0
5,19,Pinheiros,Brasília,1,Scaglia,20.9,10,16,2,4,2,2,0,0,2,1,3,3.0,2.0,0.0,2.0,0.0,2,0.0
6,19,Pinheiros,Brasília,1,Ware,25.4,9,20,1,4,3,4,0,0,1,6,7,1.0,1.0,0.0,2.0,3.0,0,0.0
7,19,Pinheiros,Brasília,1,Betinho,19.4,8,27,2,7,1,3,0,0,0,3,3,7.0,1.0,0.0,1.0,1.0,2,0.0
8,19,Pinheiros,Brasília,1,Buffat,15.8,5,7,1,1,1,2,0,0,1,2,3,2.0,0.0,0.0,3.0,0.0,2,0.0
9,19,Pinheiros,Brasília,1,Toledo,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,Pinheiros,Brasília,1,Equipe,0.0,106,182,15,35,29,37,3,3,8,30,38,33.0,9.0,0.0,20.0,9.0,12,2.0
0,19,Brasília,Pinheiros,2,Nezinho,30.7,23,39,2,6,4,6,9,9,0,3,3,4.0,1.0,0.0,2.0,6.0,5,0.0
1,19,Brasília,Pinheiros,2,B. Fiorotto,32.8,14,26,0,0,6,11,2,4,3,3,6,5.0,3.0,0.0,1.0,3.0,2,1.0
2,19,Brasília,Pinheiros,2,Pedrinho Rava,39.2,11,21,0,0,3,8,5,5,1,3,4,6.0,2.0,0.0,1.0,6.0,2,0.0
3,19,Brasília,Pinheiros,2,Rafa Moreira,29.2,10,35,2,7,1,5,2,4,0,1,1,2.0,2.0,0.0,2.0,2.0,1,0.0
4,19,Brasília,Pinheiros,2,Marcelão,25.1,6,16,0,0,3,8,0,0,5,5,10,0.0,0.0,0.0,0.0,1.0,1,1.0
5,19,Brasília,Pinheiros,2,Arthur,17.6,5,17,1,5,0,0,2,2,0,1,1,1.0,0.0,0.0,2.0,2.0,0,0.0
6,19,Brasília,Pinheiros,2,Gabriel,16.2,2,7,0,1,1,2,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0,0.0
7,19,Brasília,Pinheiros,2,Suassuna,5.4,0,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,19,Brasília,Pinheiros,2,Felipe,3.9,0,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1,0.0
9,19,Brasília,Pinheiros,2,Equipe,0.0,71,167,5,21,18,40,20,24,9,19,28,18.0,9.0,0.0,9.0,20.0,13,2.0
0,19,Corinthians,Minas,1,Nesbitt,37.6,24,44,1,4,8,13,5,6,1,5,6,2.0,0.0,0.0,2.0,8.0,2,2.0
1,19,Corinthians,Minas,1,Fischer,34.2,13,33,2,7,3,5,1,2,0,3,3,7.0,2.0,0.0,4.0,6.0,3,0.0
2,19,Corinthians,Minas,1,Wesley,15.6,10,24,1,4,2,4,3,4,0,2,2,1.0,2.0,0.0,3.0,4.0,0,0.0
3,19,Corinthians,Minas,1,Robinson,21.9,7,27,1,7,2,3,0,0,1,4,5,2.0,0.0,0.0,2.0,1.0,2,0.0
4,19,Corinthians,Minas,1,Vezaro,29.6,7,15,2,4,0,1,1,1,1,5,6,1.0,0.0,0.0,1.0,0.0,0,0.0
5,19,Corinthians,Minas,1,Johnson,18.1,6,8,0,0,3,4,0,0,2,4,6,0.0,0.0,1.0,2.0,0.0,0,0.0
6,19,Corinthians,Minas,1,Fuller,30.4,3,13,1,3,0,2,0,0,0,0,0,2.0,1.0,0.0,4.0,0.0,3,0.0
7,19,Corinthians,Minas,1,Teichmann,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,19,Corinthians,Minas,1,Pecos,8.5,0,7,0,1,0,2,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0,0.0
9,19,Corinthians,Minas,1,Douglas Santos,4.0,0,4,0,0,0,2,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,Corinthians,Minas,1,Equipe,0.0,70,175,8,30,18,36,10,13,8,27,35,16.0,5.0,1.0,19.0,19.0,10,2.0
0,19,Minas,Corinthians,2,Scott,27.4,17,19,0,0,8,9,1,1,3,4,7,1.0,1.0,0.0,2.0,1.0,1,0.0
1,19,Minas,Corinthians,2,Alex,32.8,14,40,0,6,5,9,4,4,0,5,5,3.0,0.0,0.0,2.0,6.0,1,0.0
2,19,Minas,Corinthians,2,Deodato,24.8,13,22,1,4,5,5,0,0,0,4,4,0.0,1.0,0.0,2.0,1.0,0,1.0
3,19,Minas,Corinthians,2,Leandrinho,28.6,10,22,2,3,1,5,2,3,2,1,3,5.0,2.0,0.0,2.0,4.0,1,0.0
4,19,Minas,Corinthians,2,Davi,19.6,8,18,1,3,1,2,3,5,0,2,2,5.0,2.0,0.0,2.0,3.0,1,0.0
5,19,Minas,Corinthians,2,Black,13.6,7,9,1,1,2,3,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,1,0.0
6,19,Minas,Corinthians,2,Tyrone,24.9,4,18,0,3,0,2,4,5,0,4,4,0.0,0.0,0.0,5.0,3.0,3,0.0
7,19,Minas,Corinthians,2,Jackson Jr,13.2,2,10,0,2,1,2,0,0,0,6,6,2.0,0.0,0.0,1.0,0.0,2,0.0
8,19,Minas,Corinthians,2,Shilton,12.4,2,4,0,0,1,2,0,0,0,2,2,0.0,0.0,0.0,1.0,0.0,1,0.0
9,19,Minas,Corinthians,2,Alexei,2.7,0,2,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0,0.0
10,19,Minas,Corinthians,2,Queiroz,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
11,19,Minas,Corinthians,2,Equipe,0.0,77,164,5,22,24,40,14,18,5,31,36,16.0,6.0,0.0,20.0,18.0,11,1.0
0,19,Sesi Franca,Bauru,1,Hettsheimeir,23.5,21,36,1,4,7,10,4,4,0,5,5,0.0,0.0,0.0,3.0,6.0,2,1.0
1,19,Sesi Franca,Bauru,1,Lucas Dias,28.9,18,35,6,11,0,1,0,0,0,1,1,0.0,2.0,2.0,0.0,1.0,3,0.0
2,19,Sesi Franca,Bauru,1,David Jackson,35.2,14,22,1,3,4,5,3,3,0,3,3,5.0,2.0,0.0,1.0,1.0,1,0.0
3,19,Sesi Franca,Bauru,1,Parodi,18.8,10,21,2,5,2,3,0,0,0,2,2,3.0,2.0,0.0,4.0,2.0,4,0.0
4,19,Sesi Franca,Bauru,1,Guilherme,18.9,6,10,0,0,3,5,0,0,2,6,8,1.0,0.0,1.0,2.0,0.0,1,0.0
5,19,Sesi Franca,Bauru,1,Jimmy,29.5,5,7,1,1,1,2,0,0,2,1,3,2.0,0.0,0.0,2.0,0.0,0,0.0
6,19,Sesi Franca,Bauru,1,Cipolini,12.3,5,18,1,2,1,6,0,0,2,1,3,0.0,0.0,0.0,1.0,0.0,0,0.0
7,19,Sesi Franca,Bauru,1,Elinho,29.3,2,10,0,2,1,2,0,0,1,3,4,8.0,3.0,0.0,3.0,1.0,3,0.0
8,19,Sesi Franca,Bauru,1,Edu Marília,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,19,Sesi Franca,Bauru,1,Márcio,3.3,0,5,0,1,0,1,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0,0.0
10,19,Sesi Franca,Bauru,1,Adyel,0.4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0
11,19,Sesi Franca,Bauru,1,Equipe,0.0,81,164,12,29,19,35,7,7,8,23,31,19.0,9.0,3.0,17.0,12.0,16,1.0
0,19,Bauru,Sesi Franca,2,Wiggins,27.0,16,33,2,5,2,6,6,6,2,6,8,1.0,1.0,0.0,1.0,3.0,2,0.0
1,19,Bauru,Sesi Franca,2,Draper,27.9,14,31,1,4,4,8,3,3,1,3,4,0.0,1.0,0.0,2.0,3.0,4,0.0
2,19,Bauru,Sesi Franca,2,Crescenzi,23.5,13,19,3,4,1,2,2,3,1,1,2,4.0,2.0,0.0,2.0,2.0,3,0.0
3,19,Bauru,Sesi Franca,2,Faggiano,36.2,11,30,0,4,5,8,1,2,0,2,2,6.0,0.0,0.0,1.0,3.0,1,1.0
4,19,Bauru,Sesi Franca,2,Larry,27.0,9,19,1,3,2,4,2,2,1,4,5,3.0,2.0,0.0,0.0,1.0,2,0.0
5,19,Bauru,Sesi Franca,2,Malachias,24.2,8,12,0,0,3,5,2,2,1,3,4,1.0,1.0,1.0,4.0,2.0,1,1.0
6,19,Bauru,Sesi Franca,2,Gabriel Jaú,33.5,8,26,1,4,2,6,1,2,3,4,7,2.0,2.0,0.0,2.0,3.0,3,1.0
7,19,Bauru,Sesi Franca,2,Brito,0.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0
8,19,Bauru,Sesi Franca,2,Andrew,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,19,Bauru,Sesi Franca,2,Pará,0.2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,Bauru,Sesi Franca,2,Equipe,0.0,79,170,8,24,19,39,17,20,12,24,36,17.0,9.0,1.0,13.0,17.0,16,3.0
0,19,São José,Mogi,1,Rafael,36.4,31,40,0,2,15,16,1,2,3,6,9,3.0,0.0,0.0,0.0,2.0,3,0.0
1,19,São José,Mogi,1,Morillo,29.6,18,35,4,5,2,8,2,4,0,4,4,4.0,0.0,0.0,3.0,2.0,3,0.0
2,19,São José,Mogi,1,Lupa,31.4,16,23,0,0,8,11,0,1,1,5,6,1.0,2.0,0.0,1.0,2.0,2,0.0
3,19,São José,Mogi,1,Figueredo,35.5,14,20,2,4,4,4,0,0,0,2,2,13.0,1.0,0.0,1.0,4.0,3,0.0
4,19,São José,Mogi,1,Duda,22.0,7,12,1,2,0,1,4,4,0,6,6,4.0,2.0,0.0,4.0,2.0,0,0.0
5,19,São José,Mogi,1,L. Eltink,18.1,4,7,0,1,2,2,0,0,1,0,1,4.0,0.0,1.0,1.0,4.0,3,0.0
6,19,São José,Mogi,1,Mariani,11.3,4,13,1,3,0,0,1,4,0,1,1,1.0,0.0,0.0,0.0,2.0,1,0.0
7,19,São José,Mogi,1,Ambrosino,7.5,3,11,1,3,0,1,0,0,0,2,2,0.0,0.0,1.0,1.0,0.0,0,0.0
8,19,São José,Mogi,1,Jean,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,19,São José,Mogi,1,Pedro,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,São José,Mogi,1,Conceição,3.7,0,2,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,2.0,0.0,0,0.0
11,19,São José,Mogi,1,Eugeniusz,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,2.0,0.0,0,0.0
12,19,São José,Mogi,1,Equipe,0.0,97,163,9,20,31,44,8,15,6,28,34,30.0,6.0,2.0,15.0,18.0,15,0.0
0,19,Mogi,São José,2,Fuzaro,37.3,30,45,3,3,8,14,5,8,3,3,6,2.0,0.0,1.0,3.0,7.0,1,0.0
1,19,Mogi,São José,2,Paranhos,28.1,18,30,0,0,8,13,2,4,6,4,10,2.0,1.0,0.0,2.0,2.0,3,1.0
2,19,Mogi,São José,2,Alexey,20.7,16,32,0,3,7,10,2,3,0,2,2,5.0,3.0,0.0,1.0,3.0,3,0.0
3,19,Mogi,São José,2,André Goes,33.7,11,37,2,7,2,7,1,2,2,5,7,4.0,2.0,0.0,4.0,3.0,1,0.0
4,19,Mogi,São José,2,Fabricio,27.3,9,20,3,6,0,1,0,0,1,1,2,3.0,2.0,0.0,0.0,0.0,0,0.0
5,19,Mogi,São José,2,Colina,6.0,5,5,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,1,0.0
6,19,Mogi,São José,2,João Pedro,4.1,0,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,19,Mogi,São José,2,Guga,3.9,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0
8,19,Mogi,São José,2,Ziggy,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,19,Mogi,São José,2,Fúlvio,23.4,0,16,0,4,0,2,0,0,1,2,3,3.0,1.0,0.0,3.0,0.0,1,0.0
10,19,Mogi,São José,2,Alex,10.9,0,5,0,1,0,1,0,0,0,1,1,0.0,3.0,0.0,1.0,0.0,0,0.0
11,19,Mogi,São José,2,Lessa,4.7,0,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0,0.0
12,19,Mogi,São José,2,Equipe,0.0,89,194,9,25,26,51,10,17,14,21,35,19.0,12.0,1.0,18.0,15.0,11,1.0
0,19,Pinheiros,Rio Claro,1,C. Torres,28.4,27,43,0,3,12,15,3,4,3,3,6,0.0,0.0,1.0,2.0,3.0,1,0.0
1,19,Pinheiros,Rio Claro,1,Ware,27.5,16,28,3,7,2,2,3,3,2,3,5,1.0,1.0,1.0,2.0,2.0,0,0.0
2,19,Pinheiros,Rio Claro,1,Betinho,27.4,8,24,1,4,1,4,3,4,0,2,2,3.0,0.0,0.0,4.0,7.0,2,0.0
3,19,Pinheiros,Rio Claro,1,Dawkins,27.7,8,27,2,5,0,5,2,2,0,1,1,4.0,1.0,0.0,2.0,2.0,2,0.0
4,19,Pinheiros,Rio Claro,1,Isaac,17.0,7,10,0,1,2,2,3,3,0,3,3,2.0,0.0,0.0,0.0,3.0,1,0.0
5,19,Pinheiros,Rio Claro,1,Bennett,29.7,7,23,0,3,2,5,3,4,0,1,1,5.0,1.0,0.0,3.0,4.0,2,0.0
6,19,Pinheiros,Rio Claro,1,Scaglia,13.3,5,10,1,2,1,2,0,0,1,3,4,1.0,0.0,1.0,1.0,0.0,1,0.0
7,19,Pinheiros,Rio Claro,1,L. Cauê,17.2,2,12,0,0,1,6,0,0,3,3,6,2.0,0.0,0.0,4.0,1.0,1,0.0
8,19,Pinheiros,Rio Claro,1,Buffat,12.0,0,2,0,0,0,1,0,0,0,3,3,2.0,1.0,0.0,5.0,2.0,0,0.0
9,19,Pinheiros,Rio Claro,1,Toledo,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,Pinheiros,Rio Claro,1,Equipe,0.0,80,179,7,25,21,42,17,20,12,24,36,20.0,4.0,3.0,23.0,24.0,10,0.0
0,19,Rio Claro,Pinheiros,2,Enzo,30.1,18,32,2,5,4,6,4,5,0,3,3,3.0,1.0,0.0,2.0,4.0,1,0.0
1,19,Rio Claro,Pinheiros,2,Sahdi,17.6,18,31,3,5,0,3,9,10,0,2,2,5.0,1.0,0.0,3.0,5.0,2,0.0
2,19,Rio Claro,Pinheiros,2,Pastor,31.7,15,27,3,5,3,6,0,0,4,6,10,0.0,0.0,0.0,1.0,0.0,1,1.0
3,19,Rio Claro,Pinheiros,2,Ansaloni,30.5,12,24,2,4,2,5,2,2,0,5,5,1.0,2.0,1.0,4.0,4.0,2,0.0
4,19,Rio Claro,Pinheiros,2,Figueroa,27.2,8,11,2,3,1,1,0,0,0,0,0,5.0,0.0,0.0,4.0,2.0,1,0.0
5,19,Rio Claro,Pinheiros,2,Gerson,20.7,7,15,0,0,2,5,3,5,1,5,6,1.0,1.0,0.0,3.0,4.0,1,1.0
6,19,Rio Claro,Pinheiros,2,Pedro,12.5,4,9,0,1,2,3,0,0,1,3,4,1.0,2.0,0.0,3.0,0.0,1,0.0
