,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse
0,VipTech CMB,Fortaleza B,02/01/2021,casa,1 Turno,Equipe,27,105,22,52,12,15,19,25,44,15,1,5,22,17,17,0,52,47,20.0,61.0,61,172,65.0,-15.0,derrota,6,64,3.05,21
1,Fortaleza B,VipTech CMB,02/01/2021,fora,1 Turno,Equipe,18,63,44,84,12,21,14,23,37,18,6,4,18,22,6,2,22,17,27.0,63.0,76,168,64.0,15.0,vitória,7,64,3.37,19
