,Njogador,Temporada,Time,Adv,C_F,Jogador,Min,Pts_C,Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
81,11,19,Sesi Franca,Bauru,1,Equipe,0:0,81,164,12,29,19,35,7,7,8,23,31,19,9,3,17,12,16,1
82,0,19,Bauru,Sesi Franca,2,Wiggins,27:0,16,33,2,5,2,6,6,6,2,6,8,1,1,0,1,3,2,0
83,1,19,Bauru,Sesi Franca,2,Draper,27:9,14,31,1,4,4,8,3,3,1,3,4,0,1,0,2,3,4,0
84,2,19,Bauru,Sesi Franca,2,Crescenzi,23:5,13,19,3,4,1,2,2,3,1,1,2,4,2,0,2,2,3,0
85,3,19,Bauru,Sesi Franca,2,Faggiano,36:2,11,30,0,4,5,8,1,2,0,2,2,6,0,0,1,3,1,1
86,4,19,Bauru,Sesi Franca,2,Larry,27:0,9,19,1,3,2,4,2,2,1,4,5,3,2,0,0,1,2,0
87,5,19,Bauru,Sesi Franca,2,Malachias,24:2,8,12,0,0,3,5,2,2,1,3,4,1,1,1,4,2,1,1
88,6,19,Bauru,Sesi Franca,2,Gabriel Jaú,33:5,8,26,1,4,2,6,1,2,3,4,7,2,2,0,2,3,3,1
89,7,19,Bauru,Sesi Franca,2,Brito,0:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,8,19,Bauru,Sesi Franca,2,Andrew,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,9,19,Bauru,Sesi Franca,2,Pará,0:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,10,19,Bauru,Sesi Franca,2,Equipe,0:0,79,170,8,24,19,39,17,20,12,24,36,17,9,1,13,17,16,3
93,0,19,São José,Mogi,1,Rafael,36:4,31,40,0,2,15,16,1,2,3,6,9,3,0,0,0,2,3,0
94,1,19,São José,Mogi,1,Morillo,29:6,18,35,4,5,2,8,2,4,0,4,4,4,0,0,3,2,3,0
95,2,19,São José,Mogi,1,Lupa,31:4,16,23,0,0,8,11,0,1,1,5,6,1,2,0,1,2,2,0
96,3,19,São José,Mogi,1,Figueredo,35:5,14,20,2,4,4,4,0,0,0,2,2,13,1,0,1,4,3,0
97,4,19,São José,Mogi,1,Duda,22:0,7,12,1,2,0,1,4,4,0,6,6,4,2,0,4,2,0,0
98,5,19,São José,Mogi,1,L. Eltink,18:1,4,7,0,1,2,2,0,0,1,0,1,4,0,1,1,4,3,0
99,6,19,São José,Mogi,1,Mariani,11:3,4,13,1,3,0,0,1,4,0,1,1,1,0,0,0,2,1,0
100,7,19,São José,Mogi,1,Ambrosino,7:5,3,11,1,3,0,1,0,0,0,2,2,0,0,1,1,0,0,0
101,8,19,São José,Mogi,1,Jean,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,9,19,São José,Mogi,1,Pedro,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,10,19,São José,Mogi,1,Conceição,3:7,0,2,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0
104,11,19,São José,Mogi,1,Eugeniusz,4:5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
105,12,19,São José,Mogi,1,Equipe,0:0,97,163,9,20,31,44,8,15,6,28,34,30,6,2,15,18,15,0
106,0,19,Mogi,São José,2,Fuzaro,37:3,30,45,3,3,8,14,5,8,3,3,6,2,0,1,3,7,1,0
107,1,19,Mogi,São José,2,Paranhos,28:1,18,30,0,0,8,13,2,4,6,4,10,2,1,0,2,2,3,1
