,Njogador,Temporada,Time,Adv,C_F,Jogador,Min,Pts_C,Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
1304,5,19,Pinheiros,Sesi Franca,2,Betinho,27:4,6,25,2,5,0,5,0,0,0,5,5,3,1,0,5,1,4,0
1305,6,19,Pinheiros,Sesi Franca,2,Scaglia,18:7,5,15,1,2,1,4,0,1,0,2,2,0,0,0,1,2,0,0
1306,7,19,Pinheiros,Sesi Franca,2,Toledo,18:8,3,14,0,0,1,6,1,2,1,0,1,1,0,0,2,1,0,0
1307,8,19,Pinheiros,Sesi Franca,2,G. Campos,2:1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1308,9,19,Pinheiros,Sesi Franca,2,Viana,0:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1309,10,19,Pinheiros,Sesi Franca,2,D. Souza,2:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,11,19,Pinheiros,Sesi Franca,2,Equipe,0:0,69,172,10,24,15,44,9,12,14,26,40,11,3,0,20,16,12,2
1311,0,19,Pato Basquete,São Paulo,1,Funches III,21:4,18,28,0,0,7,12,4,4,3,3,6,1,0,0,4,4,0,2
1312,1,19,Pato Basquete,São Paulo,1,Gustavo,27:2,17,28,3,6,4,5,0,0,1,0,1,1,1,0,2,2,2,0
1313,2,19,Pato Basquete,São Paulo,1,Paulo,14:7,11,23,1,1,3,9,2,2,1,1,2,0,0,0,2,1,1,1
1314,3,19,Pato Basquete,São Paulo,1,Phillips,18:1,9,18,0,3,4,4,1,1,0,0,0,3,1,0,2,2,1,0
1315,4,19,Pato Basquete,São Paulo,1,Thornton,30:7,8,26,0,4,3,6,2,2,4,1,5,3,1,0,0,1,0,0
1316,5,19,Pato Basquete,São Paulo,1,Scheuer,13:8,6,11,0,0,3,5,0,1,2,1,3,0,1,0,3,1,0,0
1317,6,19,Pato Basquete,São Paulo,1,Coimbra,14:1,5,11,0,0,2,4,1,3,0,2,2,1,0,0,1,2,1,0
1318,7,19,Pato Basquete,São Paulo,1,Augusto,13:7,4,13,0,2,1,2,2,3,0,0,0,0,0,0,2,2,1,0
1319,8,19,Pato Basquete,São Paulo,1,Gegê,26:9,3,6,1,2,0,0,0,0,2,2,4,7,0,0,2,0,0,0
1320,9,19,Pato Basquete,São Paulo,1,Leandro,11:2,3,13,0,3,1,1,1,2,0,1,1,0,0,0,1,1,0,0
1321,10,19,Pato Basquete,São Paulo,1,Rodrigues,8:3,2,6,0,0,1,2,0,2,1,1,2,0,0,1,3,1,0,1
1322,11,19,Pato Basquete,São Paulo,1,Aquiles,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,12,19,Pato Basquete,São Paulo,1,Equipe,0:0,86,183,5,21,29,50,13,20,14,13,27,16,4,1,22,17,8,4
1324,0,19,São Paulo,Pato Basquete,2,Renan,31:8,25,35,3,6,6,6,4,5,1,7,8,3,1,2,3,4,0,4
1325,1,19,São Paulo,Pato Basquete,2,Jefferson,30:9,22,43,5,9,1,4,5,8,3,5,8,2,0,0,4,6,1,0
1326,2,19,São Paulo,Pato Basquete,2,Léo Meindl,32:2,19,30,0,3,6,7,7,7,1,6,7,1,0,0,4,5,4,0
1327,3,19,São Paulo,Pato Basquete,2,Shamell,37:5,13,23,3,5,1,3,2,2,0,2,2,5,3,0,2,4,1,0
1328,4,19,São Paulo,Pato Basquete,2,Georginho,37:8,11,14,1,2,3,3,2,2,1,2,3,8,1,0,1,2,2,1
1329,5,19,São Paulo,Pato Basquete,2,Jones,15:9,11,11,3,3,1,1,0,0,0,1,1,1,0,0,2,0,0,0
1330,6,19,São Paulo,Pato Basquete,2,Murilo,5:0,2,4,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0
1331,7,19,São Paulo,Pato Basquete,2,Kurtz,2:9,2,2,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
1332,8,19,São Paulo,Pato Basquete,2,Igor,0:3,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
1333,9,19,São Paulo,Pato Basquete,2,Danilo,3:5,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1334,10,19,São Paulo,Pato Basquete,2,Mamedes,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,11,19,São Paulo,Pato Basquete,2,Cassiano,2:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336,12,19,São Paulo,Pato Basquete,2,Equipe,0:0,106,169,15,29,20,28,21,26,9,25,34,20,5,2,17,22,10,5
1337,0,19,Flamengo,Basq. Cearense,1,Jhonatan,25:6,23,33,5,7,3,5,2,2,1,4,5,1,1,0,2,3,3,0
1338,1,19,Flamengo,Basq. Cearense,1,Zach Graham,26:9,12,15,2,3,0,0,6,6,0,1,1,4,1,1,0,4,0,0
1339,2,19,Flamengo,Basq. Cearense,1,Vargas,17:1,9,20,0,0,4,9,1,2,2,5,7,0,2,2,0,1,1,0
1340,3,19,Flamengo,Basq. Cearense,1,Demétrio,23:6,9,31,1,5,3,7,0,2,2,8,10,2,0,0,4,4,1,0
1341,4,19,Flamengo,Basq. Cearense,1,Marquinhos,14:3,8,15,2,3,1,3,0,0,0,1,1,1,0,0,0,0,1,0
1342,5,19,Flamengo,Basq. Cearense,1,Balbi,23:4,6,18,1,4,0,1,3,4,1,6,7,8,2,0,1,2,1,0
1343,6,19,Flamengo,Basq. Cearense,1,Mineiro,21:6,6,18,0,2,1,3,4,6,2,3,5,3,2,1,3,3,2,1
1344,7,19,Flamengo,Basq. Cearense,1,Pedro Nunes,13:7,3,12,0,1,1,3,1,3,0,0,0,0,1,0,1,2,1,0
1345,8,19,Flamengo,Basq. Cearense,1,Barrera,18:6,2,5,0,1,1,1,0,0,0,1,1,3,0,0,2,2,1,0
1346,9,19,Flamengo,Basq. Cearense,1,Deryk,13:8,0,8,0,2,0,1,0,0,0,1,1,2,0,0,0,0,1,0
1347,10,19,Flamengo,Basq. Cearense,1,R. Rachel,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,11,19,Flamengo,Basq. Cearense,1,Maciel,1:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,12,19,Flamengo,Basq. Cearense,1,Equipe,0:0,78,175,11,28,14,33,17,25,9,31,40,24,9,4,13,21,12,1
1350,0,19,Basq. Cearense,Flamengo,2,Brite,35:8,16,25,2,3,4,7,2,2,1,2,3,9,4,0,2,3,2,0
1351,1,19,Basq. Cearense,Flamengo,2,Sualisson,31:8,14,23,0,1,7,10,0,0,1,3,4,2,0,3,4,1,4,0
1352,2,19,Basq. Cearense,Flamengo,2,Vinicius,21:8,12,20,2,2,2,6,2,2,1,6,7,2,0,0,3,3,1,0
1353,3,19,Basq. Cearense,Flamengo,2,Cauê,18:0,7,18,1,2,1,5,2,2,1,3,4,1,0,0,1,1,1,0
1354,4,19,Basq. Cearense,Flamengo,2,Rashaun,20:0,7,23,0,4,3,5,1,1,0,5,5,0,1,0,3,2,2,0
1355,5,19,Basq. Cearense,Flamengo,2,Alex,25:5,6,21,1,3,1,5,1,2,0,1,1,3,0,0,3,2,1,0
1356,6,19,Basq. Cearense,Flamengo,2,Davis,22:2,5,20,1,4,1,4,0,0,0,2,2,0,0,0,1,0,0,0
1357,7,19,Basq. Cearense,Flamengo,2,Mathias,18:1,4,6,0,0,2,3,0,0,0,5,5,2,2,1,4,1,1,0
1358,8,19,Basq. Cearense,Flamengo,2,Armani,0:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,9,19,Basq. Cearense,Flamengo,2,Gabriel,6:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,10,19,Basq. Cearense,Flamengo,2,Equipe,0:0,71,156,7,19,21,45,8,9,5,32,37,19,7,4,21,13,13,0
1361,0,19,Mogi,UNIFACISA,1,Fuzaro,34:5,27,41,2,6,9,10,3,3,0,1,1,2,3,0,3,7,2,1
1362,1,19,Mogi,UNIFACISA,1,André Goes,35:5,25,46,3,8,6,8,4,6,0,8,8,8,4,1,4,6,1,0
1363,2,19,Mogi,UNIFACISA,1,Fúlvio,37:5,17,50,3,12,4,7,0,0,2,1,3,7,0,0,3,2,4,0
1364,3,19,Mogi,UNIFACISA,1,Paranhos,27:4,11,20,0,0,4,8,3,4,2,4,6,1,1,1,3,5,0,1
1365,4,19,Mogi,UNIFACISA,1,Fabricio,36:9,8,33,1,8,2,4,1,1,1,6,7,3,0,0,2,3,1,0
1366,5,19,Mogi,UNIFACISA,1,Guga,6:1,4,4,0,0,1,1,2,2,1,0,1,0,1,0,2,1,0,0
1367,6,19,Mogi,UNIFACISA,1,Alex,6:3,4,4,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0
1368,7,19,Mogi,UNIFACISA,1,Lessa,11:0,0,5,0,1,0,1,0,0,0,1,1,0,1,0,2,0,0,0
1369,8,19,Mogi,UNIFACISA,1,Sanches,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,9,19,Mogi,UNIFACISA,1,Colina,3:4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,10,19,Mogi,UNIFACISA,1,F Cardoso,1:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,11,19,Mogi,UNIFACISA,1,Ziggy,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,12,19,Mogi,UNIFACISA,1,Equipe,0:0,96,209,9,37,28,41,13,16,10,21,31,21,10,2,22,24,10,2
1374,0,19,UNIFACISA,Mogi,2,Dixson,26:2,19,32,1,4,7,9,2,2,1,2,3,1,1,0,3,2,3,4
1375,1,19,UNIFACISA,Mogi,2,Barnes,27:5,18,43,3,8,4,8,1,3,1,5,6,8,1,0,2,3,5,0
1376,2,19,UNIFACISA,Mogi,2,Douglas Nunes,23:8,15,21,3,3,3,6,0,0,2,3,5,0,0,0,2,0,1,0
1377,3,19,UNIFACISA,Mogi,2,João Vitor,15:9,12,18,0,0,4,5,4,8,1,4,5,1,0,0,4,5,2,1
1378,4,19,UNIFACISA,Mogi,2,Pepo Vidal,19:1,8,14,2,3,1,2,0,1,0,1,1,7,0,0,1,1,2,0
1379,5,19,UNIFACISA,Mogi,2,Antonio,25:7,7,9,1,1,2,3,0,0,0,3,3,3,2,1,3,1,0,0
1380,6,19,UNIFACISA,Mogi,2,Gabriel,11:7,6,9,1,2,1,1,1,1,0,2,2,0,0,0,2,1,1,0
1381,7,19,UNIFACISA,Mogi,2,Miller,24:1,5,10,1,1,0,2,2,3,1,5,6,3,0,1,5,3,0,0
1382,8,19,UNIFACISA,Mogi,2,Gemadinha,12:0,3,9,1,3,0,0,0,0,0,3,3,1,0,0,0,2,1,0
1383,9,19,UNIFACISA,Mogi,2,Gemerson,14:0,1,9,0,2,0,0,1,3,1,2,3,0,0,0,2,1,3,0
1384,10,19,UNIFACISA,Mogi,2,Pezão,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,11,19,UNIFACISA,Mogi,2,Equipe,0:0,94,174,13,27,22,36,11,21,11,31,42,24,4,2,24,19,18,5
1386,0,19,Botafogo,Basq. Cearense,1,Lucas,32:1,24,36,5,7,4,7,1,1,3,4,7,2,1,1,4,2,2,0
1387,1,19,Botafogo,Basq. Cearense,1,Coelho,31:0,15,27,0,4,6,6,3,3,1,1,2,9,3,0,4,3,3,0
1388,2,19,Botafogo,Basq. Cearense,1,Freddie,25:8,14,18,2,2,3,5,2,2,0,6,6,0,2,0,2,2,1,1
1389,3,19,Botafogo,Basq. Cearense,1,Jamaal,33:7,14,29,2,4,3,6,2,5,1,1,2,4,0,1,2,8,3,0
1390,4,19,Botafogo,Basq. Cearense,1,Mogi,23:8,11,16,1,2,2,3,4,4,2,4,6,1,1,0,2,3,1,0
1391,5,19,Botafogo,Basq. Cearense,1,Arthur,34:8,7,22,2,6,0,1,1,2,0,2,2,3,1,0,4,3,2,0
1392,6,19,Botafogo,Basq. Cearense,1,Diego,13:0,1,6,0,0,0,2,1,2,0,2,2,0,1,0,3,3,0,0
1393,7,19,Botafogo,Basq. Cearense,1,Paulinho,5:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,8,19,Botafogo,Basq. Cearense,1,Cauê,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,9,19,Botafogo,Basq. Cearense,1,Du Sommer,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396,10,19,Botafogo,Basq. Cearense,1,Jackson,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,11,19,Botafogo,Basq. Cearense,1,Equipe,0:0,86,154,12,25,18,30,14,19,8,22,30,19,9,2,21,24,13,1
1398,0,19,Basq. Cearense,Botafogo,2,Alex,38:6,15,38,1,7,4,6,4,5,3,5,8,1,0,0,1,6,2,0
1399,1,19,Basq. Cearense,Botafogo,2,Brite,22:1,13,28,2,5,3,6,1,1,0,0,0,3,0,0,5,2,2,0
1400,2,19,Basq. Cearense,Botafogo,2,Sualisson,33:8,12,25,0,1,5,9,2,4,2,2,4,2,3,1,4,4,3,1
1401,3,19,Basq. Cearense,Botafogo,2,Cauê,24:8,11,16,2,3,2,3,1,1,1,2,3,1,1,0,2,2,2,0
1402,4,19,Basq. Cearense,Botafogo,2,Davis,20:4,10,21,3,5,0,2,1,2,1,2,3,0,0,0,1,2,0,0
1403,5,19,Basq. Cearense,Botafogo,2,Vinicius,20:8,4,4,0,0,2,2,0,0,1,1,2,3,0,0,5,1,4,0
1404,6,19,Basq. Cearense,Botafogo,2,Mathias,18:0,4,8,0,0,1,3,2,2,1,3,4,0,0,0,3,2,2,0
1405,7,19,Basq. Cearense,Botafogo,2,Armani,5:5,3,8,1,2,0,1,0,0,1,0,1,0,0,0,2,0,1,0
1406,8,19,Basq. Cearense,Botafogo,2,Rashaun,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,9,19,Basq. Cearense,Botafogo,2,Gabriel,16:1,0,3,0,1,0,0,0,0,0,1,1,1,0,0,2,1,1,0
1408,10,19,Basq. Cearense,Botafogo,2,Equipe,0:0,72,151,9,24,17,32,11,15,11,18,29,11,4,1,25,20,17,1
1409,0,19,Sesi Franca,Corinthians,1,David Jackson,27:1,23,30,2,3,5,7,7,7,0,1,1,2,1,0,0,7,1,0
1410,1,19,Sesi Franca,Corinthians,1,Schattmann,21:5,13,22,3,6,1,1,2,2,1,2,3,4,0,0,3,0,0,0
1411,2,19,Sesi Franca,Corinthians,1,Lucas Dias,26:9,11,17,1,3,2,2,4,4,0,2,2,2,1,1,2,3,4,0
1412,3,19,Sesi Franca,Corinthians,1,Guilherme,18:3,9,13,1,1,3,5,0,0,1,2,3,1,0,2,1,0,0,1
1413,4,19,Sesi Franca,Corinthians,1,Parodi,23:3,9,21,1,3,2,5,2,2,0,4,4,5,1,0,0,3,1,0
1414,5,19,Sesi Franca,Corinthians,1,Jimmy,22:7,8,10,2,2,1,2,0,0,1,3,4,1,0,0,2,1,2,0
1415,6,19,Sesi Franca,Corinthians,1,Hettsheimeir,20:9,6,15,0,1,2,5,2,2,1,5,6,1,1,2,1,3,2,0
1416,7,19,Sesi Franca,Corinthians,1,Guilherme,13:5,6,8,0,0,3,4,0,0,0,2,2,0,1,0,4,0,1,1
1417,8,19,Sesi Franca,Corinthians,1,Márcio,6:9,6,7,0,0,2,2,2,3,0,1,1,1,0,0,3,3,1,1
1418,9,19,Sesi Franca,Corinthians,1,Elinho,17:0,3,7,1,1,0,2,0,0,0,3,3,4,1,0,3,0,1,0
1419,10,19,Sesi Franca,Corinthians,1,Adyel,1:1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
1420,11,19,Sesi Franca,Corinthians,1,Edu Marília,0:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,12,19,Sesi Franca,Corinthians,1,Equipe,0:0,94,150,11,20,21,35,19,20,4,26,30,22,6,5,21,20,14,3
1422,0,19,Corinthians,Sesi Franca,2,Fischer,32:5,21,37,3,6,5,8,2,3,1,3,4,7,1,0,1,3,2,0
1423,1,19,Corinthians,Sesi Franca,2,Fuller,29:7,18,40,3,6,3,7,3,8,1,0,1,5,2,0,3,4,1,0
1424,2,19,Corinthians,Sesi Franca,2,Nesbitt,26:9,14,27,2,5,4,6,0,0,2,3,5,1,2,0,4,3,1,0
1425,3,19,Corinthians,Sesi Franca,2,Humberto,21:0,9,22,0,2,2,5,5,6,2,2,4,0,0,0,2,3,0,0
1426,4,19,Corinthians,Sesi Franca,2,Wesley,18:2,8,18,0,2,4,6,0,0,1,2,3,2,1,0,2,1,1,0
1427,5,19,Corinthians,Sesi Franca,2,Pecos,14:5,7,15,1,3,1,2,2,2,1,2,3,1,2,0,0,2,1,0
1428,6,19,Corinthians,Sesi Franca,2,Johnson,20:0,2,8,0,0,1,4,0,0,1,2,3,1,0,0,3,1,1,0
1429,7,19,Corinthians,Sesi Franca,2,Douglas Santos,8:0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0
1430,8,19,Corinthians,Sesi Franca,2,Robinson,13:8,2,7,0,1,1,2,0,0,1,1,2,0,0,0,5,2,2,0
1431,9,19,Corinthians,Sesi Franca,2,Vezaro,15:4,0,11,0,3,0,1,0,0,1,2,3,0,0,0,0,0,1,0
1432,10,19,Corinthians,Sesi Franca,2,Yan,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433,11,19,Corinthians,Sesi Franca,2,Equipe,0:0,83,187,9,28,21,41,14,21,15,20,35,17,8,0,22,21,10,0
1434,0,19,Flamengo,Minas,1,Marquinhos,36:2,22,51,2,8,4,7,8,13,1,5,6,3,0,1,1,5,2,0
1435,1,19,Flamengo,Minas,1,Balbi,38:6,15,40,2,9,3,4,3,5,2,5,7,6,1,0,4,3,2,0
1436,2,19,Flamengo,Minas,1,Zach Graham,33:7,15,43,2,10,4,6,1,1,1,2,3,0,2,0,2,1,2,0
1437,3,19,Flamengo,Minas,1,Deryk,22:3,12,21,2,5,3,3,0,0,1,0,1,2,0,0,1,0,1,0
1438,4,19,Flamengo,Minas,1,Mineiro,35:7,10,17,0,1,3,4,4,6,3,2,5,2,1,0,5,6,1,1
1439,5,19,Flamengo,Minas,1,Demétrio,26:5,9,14,1,2,2,3,2,2,0,5,5,1,0,0,4,2,0,0
1440,6,19,Flamengo,Minas,1,Olivinha,16:9,5,13,0,1,2,4,1,2,0,3,3,1,1,0,3,1,2,0
1441,7,19,Flamengo,Minas,1,Vargas,14:3,3,15,0,0,1,5,1,5,1,2,3,1,1,1,4,3,0,0
1442,8,19,Flamengo,Minas,1,Pedro Nunes,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,9,19,Flamengo,Minas,1,Maciel,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,10,19,Flamengo,Minas,1,Barrera,15:6,0,7,0,1,0,2,0,0,0,1,1,4,1,0,3,0,1,0
1445,11,19,Flamengo,Minas,1,Jhonatan,10:2,0,2,0,0,0,1,0,0,0,2,2,0,1,0,2,1,1,0
1446,12,19,Flamengo,Minas,1,Equipe,0:0,91,223,9,37,22,39,20,34,12,27,39,20,8,2,29,22,13,1
1447,0,19,Minas,Flamengo,2,Leandrinho,38:6,25,48,1,3,8,15,6,9,0,1,1,3,1,0,1,9,0,0
1448,1,19,Minas,Flamengo,2,Scott,30:6,18,32,0,0,6,11,6,10,3,9,12,2,0,0,4,6,5,1
1449,2,19,Minas,Flamengo,2,Alex,39:9,16,41,1,7,5,8,3,4,4,4,8,6,1,0,3,5,5,0
1450,3,19,Minas,Flamengo,2,Tyrone,37:1,14,21,1,2,4,6,3,3,2,8,10,1,1,0,4,3,2,0
1451,4,19,Minas,Flamengo,2,Davi,42:3,11,22,1,4,4,4,0,2,0,3,3,1,0,0,3,4,1,0
1452,5,19,Minas,Flamengo,2,Jackson Jr,6:2,4,6,0,0,2,3,0,0,1,0,1,0,2,0,2,0,0,0
1453,6,19,Minas,Flamengo,2,Shilton,19:3,4,4,0,0,1,1,2,2,1,2,3,1,0,0,5,1,1,0
1454,7,19,Minas,Flamengo,2,Deodato,24:9,2,13,0,3,1,2,0,0,0,2,2,0,1,0,0,0,1,0
1455,8,19,Minas,Flamengo,2,Black,7:9,1,8,0,2,0,0,1,2,1,3,4,0,0,0,0,1,1,0
1456,9,19,Minas,Flamengo,2,Alexei,3:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,10,19,Minas,Flamengo,2,Gui Carvalho,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,11,19,Minas,Flamengo,2,Queiroz,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,12,19,Minas,Flamengo,2,Equipe,0:0,95,195,4,21,31,50,21,32,13,37,50,14,6,0,22,29,18,1
1460,0,19,São Paulo,Paulistano,1,Shamell,38:2,19,47,2,10,5,7,3,3,0,5,5,3,0,0,2,3,2,0
1461,1,19,São Paulo,Paulistano,1,Renan,36:0,16,37,2,8,4,5,2,3,1,3,4,1,0,3,2,4,0,2
1462,2,19,São Paulo,Paulistano,1,Léo Meindl,32:9,15,30,1,4,5,8,2,2,4,7,11,0,1,0,4,3,2,0
1463,3,19,São Paulo,Paulistano,1,Jones,24:4,13,25,1,4,3,4,4,5,1,3,4,2,1,0,1,3,1,0
1464,4,19,São Paulo,Paulistano,1,Georginho,35:6,9,31,2,7,0,3,3,4,0,4,4,3,0,0,3,3,1,0
1465,5,19,São Paulo,Paulistano,1,Kurtz,14:6,2,4,0,0,1,2,0,0,0,2,2,1,0,0,3,1,2,1
1466,6,19,São Paulo,Paulistano,1,Jefferson,10:5,1,8,0,2,0,0,1,2,0,2,2,0,0,1,1,2,1,0
1467,7,19,São Paulo,Paulistano,1,Murilo,7:3,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,1,0
1468,8,19,São Paulo,Paulistano,1,Mamedes,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,9,19,São Paulo,Paulistano,1,Cassiano,0:7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1470,10,19,São Paulo,Paulistano,1,Igor,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471,11,19,São Paulo,Paulistano,1,Danilo,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,12,19,São Paulo,Paulistano,1,Equipe,0:0,75,184,8,35,18,30,15,19,14,30,44,11,2,4,17,19,10,3
1473,0,19,Paulistano,São Paulo,2,Vitão,26:9,19,24,3,4,5,6,0,0,2,1,3,2,1,0,3,0,1,0
1474,1,19,Paulistano,São Paulo,2,D. Coleman,24:6,14,43,4,9,1,8,0,0,3,2,5,1,1,0,4,1,0,0
1475,2,19,Paulistano,São Paulo,2,Solano,33:7,12,38,4,12,0,1,0,0,3,7,10,10,1,1,2,5,3,0
1476,3,19,Paulistano,São Paulo,2,Yago,34:5,10,35,1,8,2,4,3,3,0,2,2,6,0,0,2,4,2,0
1477,4,19,Paulistano,São Paulo,2,Eddy,26:4,8,20,2,6,1,1,0,0,3,4,7,0,0,0,4,0,0,1
1478,5,19,Paulistano,São Paulo,2,Dikembe,23:0,7,17,0,0,2,6,3,5,3,5,8,0,0,0,2,5,0,1
1479,6,19,Paulistano,São Paulo,2,Maique,17:0,4,15,0,1,2,6,0,0,2,2,4,1,0,1,1,0,0,1
1480,7,19,Paulistano,São Paulo,2,Jonatan,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,8,19,Paulistano,São Paulo,2,Rafael,1:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1482,9,19,Paulistano,São Paulo,2,Ruivo,11:8,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1483,10,19,Paulistano,São Paulo,2,Anderson,0:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,11,19,Paulistano,São Paulo,2,Buiú,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1485,12,19,Paulistano,São Paulo,2,Equipe,0:0,74,198,14,42,13,32,6,8,17,27,44,20,3,2,20,16,9,3
1486,0,19,São José,Basq. Cearense,1,Duda,24:8,15,18,1,2,3,3,6,6,0,2,2,3,0,0,3,6,4,0
1487,1,19,São José,Basq. Cearense,1,Morillo,29:5,14,37,2,5,3,10,2,2,2,4,6,1,1,0,1,2,0,0
1488,2,19,São José,Basq. Cearense,1,Rafael,25:1,13,20,2,2,3,6,1,2,0,1,1,4,1,0,2,3,1,0
1489,3,19,São José,Basq. Cearense,1,Figueredo,26:0,12,24,2,4,3,6,0,0,0,0,0,5,0,0,2,3,1,0
1490,4,19,São José,Basq. Cearense,1,Mariani,22:1,9,17,1,3,2,3,2,2,0,2,2,1,0,0,0,2,1,0
1491,5,19,São José,Basq. Cearense,1,Lupa,22:1,8,14,0,0,4,7,0,0,1,1,2,2,1,0,3,0,0,0
1492,6,19,São José,Basq. Cearense,1,L. Eltink,16:2,7,13,1,3,2,2,0,0,2,2,4,0,0,0,0,0,1,1
1493,7,19,São José,Basq. Cearense,1,Conceição,15:0,2,2,0,0,1,1,0,0,0,1,1,0,0,1,4,0,1,0
1494,8,19,São José,Basq. Cearense,1,Ambrosino,9:7,2,11,0,1,1,4,0,0,2,1,3,2,0,0,1,2,1,0
1495,9,19,São José,Basq. Cearense,1,Jean,9:5,1,7,0,1,0,0,1,4,0,0,0,1,1,0,1,2,1,0
1496,10,19,São José,Basq. Cearense,1,Pedro,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,11,19,São José,Basq. Cearense,1,Fidelis,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,12,19,São José,Basq. Cearense,1,Equipe,0:0,83,163,9,21,22,42,12,16,12,16,28,19,4,1,18,20,13,1
1499,0,19,Basq. Cearense,São José,2,Brite,26:5,28,36,2,2,10,13,2,4,0,2,2,4,1,1,4,3,1,0
1500,1,19,Basq. Cearense,São José,2,Vinicius,28:5,25,28,2,2,6,7,7,8,0,3,3,4,0,1,4,8,1,3
1501,2,19,Basq. Cearense,São José,2,Alex,32:4,19,35,5,9,2,4,0,0,2,2,4,2,3,0,3,1,2,0
1502,3,19,Basq. Cearense,São José,2,Sualisson,24:9,9,20,1,2,3,7,0,0,3,1,4,2,0,1,2,2,2,0
1503,4,19,Basq. Cearense,São José,2,Davis,31:3,6,18,0,3,2,3,2,3,1,3,4,3,1,0,2,1,0,0
1504,5,19,Basq. Cearense,São José,2,Mathias,10:9,6,10,0,0,3,5,0,0,3,7,10,0,0,1,1,0,1,0
1505,6,19,Basq. Cearense,São José,2,Cauê,22:8,5,8,1,2,1,1,0,0,1,0,1,6,1,0,2,0,1,0
1506,7,19,Basq. Cearense,São José,2,Gabriel,19:9,5,14,1,2,1,4,0,0,0,4,4,1,0,0,2,1,0,0
1507,8,19,Basq. Cearense,São José,2,Armani,2:9,1,4,0,0,0,1,1,2,1,0,1,0,0,0,0,1,1,0
1508,9,19,Basq. Cearense,São José,2,Rashaun,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
