,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse,Semana
87,Mogi das Cruzes,Joinville   AABJ ,09/12/2017 18:00,fora,1º TURNO,Equipe,24,99,30,52,13,16,7,30,37,15,9,1,15,17,13,2,32,28,21,59,67,167,71.0,6.0,vitória,7,70,3.33,21,JLE 61  X  67 VER RELATÓRIO  MOG
88,KTO Caxias do Sul,Pinheiros,09/12/2017 19:00,casa,1º TURNO,Equipe,24,72,30,70,17,26,14,21,35,13,5,0,21,23,13,1,23,17,22,59,71,168,68.0,-15.0,derrota,3,71,3.55,20,CAX 71  X  86 VER RELATÓRIO  PIN
89,Pinheiros,KTO Caxias do Sul,09/12/2017 19:00,fora,1º TURNO,Equipe,30,72,38,74,18,22,11,26,37,22,8,0,25,21,8,0,32,25,29,61,86,168,67.0,15.0,vitória,7,70,3.5,20,CAX 71  X  86 VER RELATÓRIO  PIN
90,Joinville   AABJ ,Pinheiros,11/12/2017 19:00,casa,1º TURNO,Equipe,24,99,38,70,20,23,12,22,34,13,5,2,26,21,11,1,29,34,26,68,82,192,77.0,-8.0,derrota,5,72,3.6,20,JLE 82  X  90 VER RELATÓRIO  PIN
91,Pinheiros,Joinville   AABJ ,11/12/2017 19:00,fora,1º TURNO,Equipe,24,54,44,70,22,37,6,27,33,17,7,0,23,23,10,1,35,40,29,53,90,161,72.0,8.0,vitória,6,72,3.6,20,JLE 82  X  90 VER RELATÓRIO  PIN
92,VipTech CMB,Fortaleza Basquete,11/12/2017 20:15,casa,1º TURNO,Equipe,27,78,24,56,9,12,3,24,27,16,6,0,22,15,11,1,37,32,20,54,60,146,68.0,-6.0,derrota,3,68,3.4,20,CMO 60  X  66 VER RELATÓRIO  CEA
93,Fortaleza Basquete,VipTech CMB,11/12/2017 20:15,fora,1º TURNO,Equipe,12,57,46,78,8,19,12,27,39,9,4,0,16,21,15,3,21,16,24,58,66,154,68.0,6.0,vitória,6,68,3.4,20,CMO 60  X  66 VER RELATÓRIO  CEA
94,Paulistano,Vitória,11/12/2017 21:00,casa,1º TURNO,Equipe,36,99,36,74,12,12,14,27,41,22,8,2,13,17,12,2,45,40,28,70,84,185,73.0,18.0,vitória,7,73,3.84,19,CAP 84  X  66 VER RELATÓRIO  VIT
95,Vitória,Paulistano,11/12/2017 21:00,fora,1º TURNO,Equipe,15,60,44,86,7,8,9,25,34,18,10,0,17,13,14,1,31,26,26,63,66,154,71.0,-18.0,derrota,3,72,3.43,21,CAP 84  X  66 VER RELATÓRIO  VIT
96,Liga Sorocabana,Bauru,12/12/2017 20:00,casa,1º TURNO,Equipe,24,66,32,60,25,27,6,23,29,19,8,3,26,22,11,0,29,39,24,52,81,153,69.0,-8.0,derrota,5,68,2.96,23,LSB 81  X  89 VER RELATÓRIO  BAU
97,Bauru,Liga Sorocabana,12/12/2017 20:00,fora,1º TURNO,Equipe,27,72,36,52,26,33,5,22,27,21,7,0,22,25,12,2,28,38,25,50,89,157,70.0,8.0,vitória,9,69,4.06,17,LSB 81  X  89 VER RELATÓRIO  BAU
98,Mogi das Cruzes,Sesi Franca,12/12/2017 20:00,casa,1º TURNO,Equipe,30,90,30,64,12,17,8,28,36,16,7,2,19,23,11,1,35,30,24,62,72,171,72.0,1.0,vitória,2,70,3.5,20,MOG 72  X  71 VER RELATÓRIO  FRA
99,Sesi Franca,Mogi das Cruzes,12/12/2017 20:00,fora,1º TURNO,Equipe,18,78,46,76,7,11,7,29,36,14,5,2,24,18,12,2,31,26,27,64,71,165,73.0,-1.0,derrota,4,71,3.55,20,MOG 72  X  71 VER RELATÓRIO  FRA
100,VipTech CMB,Vitória,13/12/2017 20:00,casa,1º TURNO,Equipe,27,81,28,82,10,16,11,28,39,11,4,3,19,23,7,0,35,28,23,68,65,179,71.0,-7.0,derrota,4,71,3.55,20,CMO 65  X  72 VER RELATÓRIO  VIT
101,Vitória,VipTech CMB,13/12/2017 20:00,fora,1º TURNO,Equipe,30,72,28,74,14,15,7,37,44,15,3,1,23,19,13,1,24,19,23,61,72,161,73.0,7.0,vitória,8,70,3.5,20,CMO 65  X  72 VER RELATÓRIO  VIT
102,Pinheiros,Bauru,14/12/2017 20:00,casa,1º TURNO,Equipe,30,87,28,66,19,25,15,22,37,10,6,2,19,21,11,1,24,34,23,62,77,178,68.0,-16.0,derrota,6,71,3.55,20,PIN 77  X  93 VER RELATÓRIO  BAU
103,Bauru,Pinheiros,14/12/2017 20:00,fora,1º TURNO,Equipe,48,111,32,50,13,15,7,26,33,26,9,3,21,19,9,2,19,29,30,62,93,176,71.0,16.0,vitória,6,71,3.55,20,PIN 77  X  93 VER RELATÓRIO  BAU
104,Liga Sorocabana,Sesi Franca,14/12/2017 20:00,casa,1º TURNO,Equipe,24,69,36,78,19,27,15,20,35,16,2,2,36,23,10,1,38,38,25,62,79,174,68.0,-8.0,derrota,0,64,3.05,21,LSB 79  X  87 VER RELATÓRIO  FRA
105,Sesi Franca,Liga Sorocabana,14/12/2017 20:00,fora,1º TURNO,Equipe,21,57,38,64,28,44,7,21,28,13,2,3,23,33,10,1,33,33,25,51,87,165,72.0,8.0,vitória,0,63,3.32,19,LSB 79  X  87 VER RELATÓRIO  FRA
106,Minas,Flamengo,15/12/2017 19:45,casa,1º TURNO,Equipe,24,72,38,78,14,19,8,29,37,19,6,4,19,22,14,3,25,20,24,63,76,169,76.0,-7.0,derrota,7,76,3.62,21,MIN 76  X  83 VER RELATÓRIO  FLA
107,Flamengo,Minas,15/12/2017 19:45,fora,1º TURNO,Equipe,30,66,40,88,13,20,6,29,35,21,9,2,23,18,10,1,26,21,29,66,83,174,78.0,7.0,vitória,6,77,4.05,19,MIN 76  X  83 VER RELATÓRIO  FLA
108,Mogi das Cruzes,Bauru,16/12/2017 14:00,casa,1º TURNO,Equipe,18,63,30,60,24,29,3,27,30,10,9,4,28,26,13,0,52,47,21,51,72,152,73.0,3.0,vitória,4,72,3.6,20,MOG 72  X  69 VER RELATÓRIO  BAU
109,Bauru,Mogi das Cruzes,16/12/2017 14:00,fora,1º TURNO,Equipe,12,69,38,70,19,30,13,28,41,14,6,1,26,28,16,0,41,36,23,58,69,169,74.0,-3.0,derrota,4,72,3.6,20,MOG 72  X  69 VER RELATÓRIO  BAU
110,Pinheiros,Vitória,16/12/2017 19:30,casa,1º TURNO,Equipe,24,81,44,84,12,14,12,27,39,15,10,3,16,19,9,2,24,18,28,69,80,179,71.0,3.0,vitória,7,72,3.79,19,PIN 80  X  77 VER RELATÓRIO  VIT
111,Vitória,Pinheiros,16/12/2017 19:30,fora,1º TURNO,Equipe,30,69,36,78,11,16,9,28,37,18,5,1,19,16,14,2,25,20,26,62,77,163,73.0,-3.0,derrota,6,73,3.48,21,PIN 80  X  77 VER RELATÓRIO  VIT
112,Liga Sorocabana,Paulistano,17/12/2017 18:00,casa,1º TURNO,Equipe,27,69,34,84,14,22,11,24,35,15,12,3,21,18,13,1,28,28,25,65,75,175,76.0,-3.0,derrota,7,74,3.7,20,LSB 75  X  78 VER RELATÓRIO  CAP
113,Paulistano,Liga Sorocabana,17/12/2017 18:00,fora,1º TURNO,Equipe,36,99,30,70,12,15,14,30,44,22,9,5,18,21,16,2,49,49,25,68,78,184,77.0,3.0,vitória,8,73,3.84,19,LSB 75  X  78 VER RELATÓRIO  CAP
114,Vasco da Gama,Botafogo,19/12/2017 19:30,casa,1º TURNO,Equipe,24,90,26,62,22,30,13,30,43,14,4,2,22,27,14,0,28,23,21,61,72,182,75.0,4.0,vitória,5,72,3.27,22,VAS 72  X  68 VER RELATÓRIO  BOT
115,Botafogo,Vasco da Gama,19/12/2017 19:30,fora,1º TURNO,Equipe,15,63,40,68,13,25,5,30,35,16,11,7,28,21,9,1,36,31,24,55,68,156,70.0,-4.0,derrota,5,71,3.94,18,VAS 72  X  68 VER RELATÓRIO  BOT
116,Pinheiros,Mogi das Cruzes,20/12/2017 19:30,casa,1º TURNO,Equipe,27,84,28,90,11,21,17,29,46,12,7,1,19,16,9,0,29,24,23,73,66,195,73.0,-7.0,derrota,3,71,3.55,20,PIN 66  X  73 VER RELATÓRIO  MOG
117,Mogi das Cruzes,Pinheiros,20/12/2017 19:30,fora,1º TURNO,Equipe,15,69,46,78,12,16,7,35,42,17,7,5,16,17,12,0,32,27,28,62,73,163,74.0,7.0,vitória,5,70,3.5,20,PIN 66  X  73 VER RELATÓRIO  MOG
118,Fortaleza Basquete,KTO Caxias do Sul,20/12/2017 20:30,casa,1º TURNO,Equipe,33,72,26,68,8,19,16,24,40,15,5,1,22,19,23,0,21,16,24,58,67,159,73.0,-9.0,derrota,3,72,3.43,21,CEA 67  X  76 VER RELATÓRIO  CAX
119,KTO Caxias do Sul,Fortaleza Basquete,20/12/2017 20:30,fora,1º TURNO,Equipe,27,81,34,56,15,19,7,23,30,13,16,3,20,21,16,1,19,14,25,55,76,156,72.0,9.0,vitória,6,71,3.74,19,CEA 67  X  76 VER RELATÓRIO  CAX
120,Vitória,Joinville   AABJ ,20/12/2017 20:30,casa,1º TURNO,Equipe,27,72,44,84,17,23,8,36,44,17,13,1,23,19,21,4,37,32,27,66,88,179,88.0,20.0,vitória,10,80,4.0,20,VIT 88  X  68 VER RELATÓRIO  JLE
121,Joinville   AABJ ,Vitória,20/12/2017 20:30,fora,1º TURNO,Equipe,33,102,18,74,17,22,9,22,31,12,7,0,20,22,16,1,23,18,19,71,68,198,87.0,-20.0,derrota,5,80,4.0,20,VIT 88  X  68 VER RELATÓRIO  JLE
122,Bauru,Flamengo,21/12/2017 20:00,casa,1º TURNO,Equipe,15,51,40,74,16,23,7,23,30,13,7,1,22,22,15,0,26,36,25,54,71,148,72.0,-26.0,derrota,4,70,3.68,19,BAU 71  X  97 VER RELATÓRIO  FLA
123,Flamengo,Bauru,21/12/2017 20:00,fora,1º TURNO,Equipe,33,90,44,76,20,22,9,25,34,18,6,1,23,19,10,3,25,35,30,68,97,188,79.0,26.0,vitória,8,70,3.5,20,BAU 71  X  97 VER RELATÓRIO  FLA
124,Botafogo,Paulistano,21/12/2017 20:00,casa,1º TURNO,Equipe,12,48,36,74,26,39,12,34,46,19,2,1,28,26,21,1,35,30,21,53,74,161,77.0,-19.0,derrota,7,77,3.85,20,BOT 74  X  93 VER RELATÓRIO  CAP
125,Paulistano,Botafogo,21/12/2017 20:00,fora,1º TURNO,Equipe,36,108,36,76,21,28,12,22,34,26,10,2,27,27,7,2,45,40,28,74,93,212,81.0,19.0,vitória,10,77,3.85,20,BOT 74  X  93 VER RELATÓRIO  CAP
126,Vasco da Gama,VipTech CMB,21/12/2017 20:00,casa,1º TURNO,Equipe,27,69,44,72,13,18,8,29,37,25,6,3,20,18,11,0,35,30,31,59,84,159,69.0,25.0,vitória,8,69,3.83,18,VAS 84  X  59 VER RELATÓRIO  CMO
127,VipTech CMB,Vasco da Gama,21/12/2017 20:00,fora,1º TURNO,Equipe,9,54,42,86,8,17,10,21,31,11,6,3,18,20,12,0,36,31,24,61,59,157,70.0,-25.0,derrota,4,69,3.14,22,VAS 84  X  59 VER RELATÓRIO  CMO
128,Sesi Franca,Minas,21/12/2017 20:10,casa,1º TURNO,Equipe,18,42,46,108,11,16,15,33,48,18,10,2,24,20,16,1,43,38,28,68,75,166,76.0,20.0,vitória,5,75,3.75,20,FRA 75  X  55 VER RELATÓRIO  MIN
129,Minas,Sesi Franca,21/12/2017 20:10,fora,1º TURNO,Equipe,15,75,26,58,14,18,5,25,30,12,11,5,20,23,19,2,45,40,16,54,55,151,74.0,-20.0,derrota,4,74,3.7,20,FRA 75  X  55 VER RELATÓRIO  MIN
130,Liga Sorocabana,Pinheiros,22/12/2017 20:00,casa,1º TURNO,Equipe,15,54,38,80,22,29,12,25,37,11,5,1,29,19,16,2,44,39,22,58,75,163,74.0,-2.0,derrota,5,66,3.14,21,LSB 75  X  77 VER RELATÓRIO  PIN
131,Pinheiros,Liga Sorocabana,22/12/2017 20:00,fora,1º TURNO,Equipe,24,57,30,66,23,38,10,22,32,9,9,1,22,29,8,2,40,35,21,52,77,161,66.0,2.0,vitória,2,66,3.67,18,LSB 75  X  77 VER RELATÓRIO  PIN
132,Fortaleza Basquete,Joinville   AABJ ,22/12/2017 20:30,casa,1º TURNO,Equipe,27,102,44,60,9,16,13,34,47,24,4,2,19,17,18,4,21,16,27,64,80,178,76.0,14.0,vitória,8,73,3.48,21,CEA 80  X  66 VER RELATÓRIO  JLE
133,Joinville   AABJ ,Fortaleza Basquete,22/12/2017 20:30,fora,1º TURNO,Equipe,27,87,22,58,17,22,7,22,29,8,12,0,20,17,11,1,21,16,19,58,66,167,71.0,-14.0,derrota,4,73,3.84,19,CEA 80  X  66 VER RELATÓRIO  JLE
134,Vitória,KTO Caxias do Sul,22/12/2017 20:30,casa,1º TURNO,Equipe,21,69,36,76,13,19,12,26,38,18,7,5,14,23,15,4,25,34,21,61,70,164,72.0,1.0,vitória,5,69,3.45,20,VIT 70  X  69 VER RELATÓRIO  CAX
135,KTO Caxias do Sul,Vitória,22/12/2017 20:30,fora,1º TURNO,Equipe,33,84,32,84,4,9,17,26,43,20,8,0,23,12,15,0,20,29,27,70,69,177,72.0,-1.0,derrota,6,70,3.5,20,VIT 70  X  69 VER RELATÓRIO  CAX
136,Botafogo,VipTech CMB,23/12/2017 11:00,casa,1º TURNO,Equipe,6,36,46,92,15,23,8,38,46,14,3,3,24,21,11,0,32,27,25,58,67,151,70.0,3.0,vitória,4,69,3.63,19,BOT 67  X  64 VER RELATÓRIO  CMO
137,VipTech CMB,Botafogo,23/12/2017 11:00,fora,1º TURNO,Equipe,15,69,32,80,17,25,7,30,37,14,4,4,22,23,6,0,39,34,21,63,64,174,73.0,-3.0,derrota,4,70,3.33,21,BOT 67  X  64 VER RELATÓRIO  CMO
138,Vasco da Gama,Paulistano,23/12/2017 11:00,casa,1º TURNO,Equipe,30,93,32,60,9,12,8,27,35,14,4,2,22,19,11,1,27,22,25,61,71,165,70.0,-6.0,derrota,6,70,3.5,20,VAS 71  X  77 VER RELATÓRIO  CAP
139,Paulistano,Vasco da Gama,23/12/2017 11:00,fora,1º TURNO,Equipe,30,96,30,58,17,24,11,29,40,18,3,1,20,20,12,2,43,38,23,61,77,178,72.0,6.0,vitória,7,71,3.55,20,VAS 71  X  77 VER RELATÓRIO  CAP
140,Sesi Franca,Flamengo,23/12/2017 14:00,casa,1º TURNO,Equipe,24,57,58,78,18,24,5,29,34,24,8,5,26,22,17,0,33,28,37,58,100,159,80.0,18.0,vitória,8,76,3.8,20,FRA 100  X  82 VER RELATÓRIO  FLA
141,Flamengo,Sesi Franca,23/12/2017 14:00,fora,1º TURNO,Equipe,21,57,38,96,23,30,14,19,33,11,10,1,22,25,10,1,26,21,25,67,82,183,76.0,-18.0,derrota,6,75,3.75,20,FRA 100  X  82 VER RELATÓRIO  FLA
142,Bauru,Minas,23/12/2017 18:00,casa,1º TURNO,Equipe,27,63,48,74,14,17,7,36,43,18,8,4,22,15,19,3,23,33,30,58,89,154,77.0,19.0,vitória,7,74,4.11,18,BAU 89  X  70 VER RELATÓRIO  MIN
143,Minas,Bauru,23/12/2017 18:00,fora,1º TURNO,Equipe,18,54,40,80,12,25,4,18,22,11,10,4,18,22,12,3,27,37,23,58,70,159,77.0,-19.0,derrota,3,73,3.32,22,BAU 89  X  70 VER RELATÓRIO  MIN
144,Vitória,Fortaleza Basquete,27/12/2017 19:30,casa,1º TURNO,Equipe,39,93,38,86,12,16,9,33,42,20,11,4,20,19,11,4,35,45,28,74,89,195,83.0,21.0,vitória,6,76,3.62,21,VIT 89  X  68 VER RELATÓRIO  CEA
145,Fortaleza Basquete,Vitória,27/12/2017 19:30,fora,1º TURNO,Equipe,27,69,24,86,17,26,10,31,41,13,5,1,20,19,15,0,26,36,21,66,68,181,82.0,-21.0,derrota,2,77,4.28,18,VIT 89  X  68 VER RELATÓRIO  CEA
146,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,casa,1º TURNO,Equipe,27,72,34,68,11,15,8,33,41,16,9,1,22,19,18,2,25,19,24,58,72,155,74.0,9.0,vitória,6,72,3.6,20,CAX 72  X  63 VER RELATÓRIO  JLE
147,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,fora,1º TURNO,Equipe,21,84,30,66,12,18,8,26,34,9,9,1,19,21,12,3,23,18,19,61,63,168,73.0,-9.0,derrota,3,73,3.65,20,CAX 72  X  63 VER RELATÓRIO  JLE
148,Pinheiros,Sesi Franca,29/12/2017 19:30,casa,1º TURNO,Equipe,27,60,36,84,14,24,15,15,30,12,9,3,19,25,11,1,34,44,26,62,77,168,68.0,-11.0,derrota,5,64,3.2,20,PIN 77  X  90 VER RELATÓRIO  FRA
149,Sesi Franca,Pinheiros,29/12/2017 19:30,fora,1º TURNO,Equipe,45,84,34,66,9,12,13,22,35,24,4,0,26,19,12,2,29,39,30,61,88,162,66.0,11.0,vitória,6,65,3.25,20,PIN 77  X  90 VER RELATÓRIO  FRA
150,Flamengo,Vasco da Gama,30/12/2017 14:00,casa,1º TURNO,Equipe,15,51,56,94,18,31,8,29,37,24,8,1,29,27,6,1,26,21,32,64,89,176,75.0,8.0,vitória,10,75,3.95,19,FLA 89  X  81 VER RELATÓRIO  VAS
151,Vasco da Gama,Flamengo,30/12/2017 14:00,fora,1º TURNO,Equipe,27,96,28,56,26,38,11,27,38,16,3,1,27,29,12,2,43,38,21,60,81,190,76.0,-8.0,derrota,6,75,3.57,21,FLA 89  X  81 VER RELATÓRIO  VAS
152,Mogi das Cruzes,Paulistano,03/01/2018 20:00,casa,1º TURNO,Equipe,30,75,36,96,14,21,14,25,39,18,10,4,19,25,6,2,29,24,26,73,80,192,73.0,-4.0,derrota,5,71,3.55,20,MOG 80  X  84 VER RELATÓRIO  CAP
153,Paulistano,Mogi das Cruzes,03/01/2018 20:00,fora,1º TURNO,Equipe,45,114,28,52,11,12,10,36,46,22,3,2,25,17,14,1,33,28,28,64,84,178,73.0,4.0,vitória,6,71,3.55,20,MOG 80  X  84 VER RELATÓRIO  CAP
154,Botafogo,Bauru,04/01/2018 20:00,casa,1º TURNO,Equipe,15,54,38,102,7,11,14,36,50,12,2,3,19,17,15,1,28,20,23,69,60,167,75.0,-17.0,derrota,6,74,3.52,21,BOT 60  X  77 VER RELATÓRIO  BAU
155,Bauru,Botafogo,04/01/2018 20:00,fora,1º TURNO,Equipe,33,111,36,68,8,13,6,32,38,18,10,7,18,17,4,3,22,17,26,71,77,192,74.0,17.0,vitória,6,74,3.89,19,BOT 60  X  77 VER RELATÓRIO  BAU
156,Minas,Liga Sorocabana,05/01/2018 19:00,casa,1º TURNO,Equipe,15,57,38,74,18,34,7,22,29,20,4,4,23,26,9,4,28,23,20,56,71,165,71.0,10.0,vitória,3,71,3.74,19,MIN 71  X  61 VER RELATÓRIO  LSB
157,Liga Sorocabana,Minas,05/01/2018 19:00,fora,1º TURNO,Equipe,6,27,40,80,15,22,9,27,36,14,2,1,27,23,15,1,32,27,21,49,61,129,64.0,-10.0,derrota,4,70,3.5,20,MIN 71  X  61 VER RELATÓRIO  LSB
158,Sesi Franca,Vitória,06/01/2018 14:00,casa,1º TURNO,Equipe,24,78,28,66,16,18,12,29,41,10,8,3,17,19,17,1,33,28,21,59,68,162,70.0,13.0,vitória,5,70,3.68,19,FRA 68  X  55 VER RELATÓRIO  VIT
159,Vitória,Sesi Franca,06/01/2018 14:00,fora,1º TURNO,Equipe,18,78,28,74,9,13,16,26,42,10,5,2,20,17,17,3,28,23,17,63,55,165,69.0,-13.0,derrota,4,70,3.33,21,FRA 68  X  55 VER RELATÓRIO  VIT
160,Minas,Mogi das Cruzes,07/01/2018 11:00,casa,1º TURNO,Equipe,15,78,36,68,14,19,6,22,28,19,7,0,16,17,11,4,32,27,19,60,65,165,72.0,-17.0,derrota,4,71,3.55,20,MIN 65  X  82 VER RELATÓRIO  MOG
161,Mogi das Cruzes,Minas,07/01/2018 11:00,fora,1º TURNO,Equipe,36,72,38,78,8,14,10,33,43,21,6,5,17,15,14,0,23,18,31,63,82,164,73.0,17.0,vitória,6,71,3.55,20,MIN 65  X  82 VER RELATÓRIO  MOG
162,Flamengo,Pinheiros,07/01/2018 18:00,casa,1º TURNO,Equipe,12,69,36,72,24,30,12,27,39,21,11,2,25,25,13,3,30,25,19,59,72,171,73.0,4.0,vitória,4,72,3.79,19,FLA 72  X  68 VER RELATÓRIO  PIN
163,Pinheiros,Flamengo,07/01/2018 18:00,fora,1º TURNO,Equipe,6,57,46,90,16,26,18,27,45,16,10,1,25,24,17,1,24,19,24,64,68,173,73.0,-4.0,derrota,5,72,3.43,21,FLA 72  X  68 VER RELATÓRIO  PIN
164,Paulistano,VipTech CMB,08/01/2018 19:30,casa,1º TURNO,Equipe,42,99,38,64,12,15,6,33,39,22,12,1,19,15,12,2,32,42,31,65,92,178,77.0,25.0,vitória,9,78,4.11,19,CAP 92  X  67 VER RELATÓRIO  CMO
165,VipTech CMB,Paulistano,08/01/2018 19:30,fora,1º TURNO,Equipe,18,60,40,100,9,15,15,26,41,15,7,0,17,18,16,2,34,44,24,70,67,175,77.0,-25.0,derrota,4,77,3.67,21,CAP 92  X  67 VER RELATÓRIO  CMO
166,Joinville   AABJ ,Vasco da Gama,08/01/2018 20:00,casa,1º TURNO,Equipe,27,63,42,88,5,5,8,24,32,20,4,1,19,10,14,2,25,35,28,65,74,156,73.0,-20.0,derrota,3,73,3.48,21,JLE 74  X  94 VER RELATÓRIO  VAS
167,Vasco da Gama,Joinville   AABJ ,08/01/2018 20:00,fora,1º TURNO,Equipe,36,78,42,68,16,23,7,27,34,16,7,1,10,19,11,2,24,34,31,60,94,169,74.0,20.0,vitória,6,72,3.79,19,JLE 74  X  94 VER RELATÓRIO  VAS
168,Bauru,Vitória,08/01/2018 20:00,casa,1º TURNO,Equipe,30,99,36,54,11,15,8,27,35,15,15,1,26,16,15,1,26,21,27,60,77,168,74.0,11.0,vitória,7,72,4.0,18,BAU 77  X  66 VER RELATÓRIO  VIT
169,Vitória,Bauru,08/01/2018 20:00,fora,1º TURNO,Equipe,18,75,24,64,24,31,14,25,39,13,6,1,17,24,19,1,30,25,17,57,66,170,74.0,-11.0,derrota,4,73,3.48,21,BAU 77  X  66 VER RELATÓRIO  VIT
170,Sesi Franca,Fortaleza Basquete,08/01/2018 20:10,casa,1º TURNO,Equipe,27,84,40,72,12,19,16,34,50,23,7,8,18,16,13,2,29,24,27,64,79,175,69.0,20.0,vitória,4,68,4.0,17,FRA 79  X  59 VER RELATÓRIO  CEA
171,Fortaleza Basquete,Sesi Franca,08/01/2018 20:10,fora,1º TURNO,Equipe,21,87,28,86,10,18,19,22,41,8,10,2,17,18,9,4,25,20,17,72,59,191,70.0,-20.0,derrota,6,69,3.14,22,FRA 79  X  59 VER RELATÓRIO  CEA
172,Flamengo,Mogi das Cruzes,09/01/2018 21:00,casa,1º TURNO,Equipe,24,60,38,68,15,20,6,25,31,19,4,2,17,19,12,2,18,13,25,54,77,148,68.0,6.0,vitória,8,66,3.0,22,FLA 77  X  71 VER RELATÓRIO  MOG
173,Mogi das Cruzes,Flamengo,09/01/2018 21:00,fora,1º TURNO,Equipe,21,75,38,70,12,18,12,24,36,15,8,1,20,17,10,1,25,20,25,60,71,163,66.0,-6.0,derrota,6,67,3.72,18,FLA 77  X  71 VER RELATÓRIO  MOG
174,Minas,Pinheiros,10/01/2018 19:00,casa,1º TURNO,Equipe,33,84,28,72,19,25,12,31,43,23,3,5,30,22,12,3,34,29,22,64,80,181,74.0,5.0,vitória,6,72,3.43,21,MIN 80  X  75 VER RELATÓRIO  PIN
175,Pinheiros,Minas,10/01/2018 19:00,fora,1º TURNO,Equipe,12,63,34,72,29,40,10,31,41,10,7,6,24,30,9,0,32,26,21,57,75,175,73.0,-5.0,derrota,4,73,3.84,19,MIN 80  X  75 VER RELATÓRIO  PIN
176,Joinville   AABJ ,Botafogo,10/01/2018 20:00,casa,1º TURNO,Equipe,27,87,28,66,13,23,10,25,35,11,13,2,20,20,8,0,19,29,23,62,68,176,70.0,5.0,vitória,7,70,3.5,20,JLE 68  X  63 VER RELATÓRIO  BOT
177,Botafogo,Joinville   AABJ ,10/01/2018 20:00,fora,1º TURNO,Equipe,9,57,40,72,14,21,9,32,41,8,5,2,21,20,18,1,23,32,22,55,63,150,73.0,-5.0,derrota,6,70,3.5,20,JLE 68  X  63 VER RELATÓRIO  BOT
178,Bauru,Fortaleza Basquete,10/01/2018 20:00,casa,1º TURNO,Equipe,27,78,42,68,18,25,7,26,33,13,3,1,24,23,12,1,26,21,29,60,87,171,75.0,5.0,vitória,8,71,3.38,21,BAU 87  X  82 VER RELATÓRIO  CEA
179,Fortaleza Basquete,Bauru,10/01/2018 20:00,fora,1º TURNO,Equipe,24,57,38,80,20,34,11,26,37,13,7,2,24,25,8,1,24,19,26,59,82,171,71.0,-5.0,derrota,6,71,3.74,19,BAU 87  X  82 VER RELATÓRIO  CEA
180,KTO Caxias do Sul,Vasco da Gama,10/01/2018 20:05,casa,1º TURNO,Equipe,15,60,52,94,14,19,16,24,40,16,10,1,19,20,11,2,17,12,29,67,81,173,70.0,12.0,vitória,9,69,3.29,21,CAX 81  X  69 VER RELATÓRIO  VAS
181,Vasco da Gama,KTO Caxias do Sul,10/01/2018 20:05,fora,1º TURNO,Equipe,24,69,36,64,9,15,7,22,29,14,8,1,20,18,16,0,22,17,26,55,69,148,70.0,-12.0,derrota,4,69,3.63,19,CAX 81  X  69 VER RELATÓRIO  VAS
182,Flamengo,Liga Sorocabana,11/01/2018 20:00,casa,1º TURNO,Equipe,15,63,50,74,17,22,10,26,36,19,8,3,11,22,14,1,18,15,29,58,82,159,71.0,15.0,vitória,7,70,3.68,19,FLA 82  X  67 VER RELATÓRIO  LSB
183,Liga Sorocabana,Flamengo,11/01/2018 20:00,fora,1º TURNO,Equipe,9,69,54,102,4,11,22,20,42,17,8,2,23,11,13,1,37,37,29,74,67,182,70.0,-15.0,derrota,6,71,3.38,21,FLA 82  X  67 VER RELATÓRIO  LSB
184,KTO Caxias do Sul,Botafogo,12/01/2018 20:05,casa,1º TURNO,Equipe,33,75,24,58,16,23,7,25,32,16,5,0,24,23,14,0,25,20,23,54,73,156,70.0,10.0,vitória,6,68,3.4,20,CAX 73  X  63 VER RELATÓRIO  BOT
185,Botafogo,KTO Caxias do Sul,12/01/2018 20:05,fora,1º TURNO,Equipe,9,48,36,74,18,27,10,27,37,15,6,3,24,22,14,1,37,32,20,53,63,149,68.0,-10.0,derrota,5,67,3.35,20,CAX 73  X  63 VER RELATÓRIO  BOT
186,Vasco da Gama,Sesi Franca,13/01/2018 13:30,casa,1º TURNO,Equipe,12,66,28,82,27,35,19,32,51,11,2,2,22,26,12,1,27,22,17,63,67,183,70.0,-14.0,derrota,5,75,3.75,20,VAS 67  X  81 VER RELATÓRIO  FRA
187,Sesi Franca,Vasco da Gama,13/01/2018 13:30,fora,1º TURNO,Equipe,24,84,46,88,11,17,9,31,40,25,8,3,28,21,5,0,27,22,31,72,81,189,76.0,14.0,vitória,3,74,3.7,20,VAS 67  X  81 VER RELATÓRIO  FRA
