,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse,Semana
10,Liga Sorocabana,Vitória,09/11/2017 20:00,casa,1º TURNO,Equipe,30,81,38,76,12,19,9,26,35,15,3,1,22,19,14,1,39,39,28,65,80,176,79.0,5.0,vitória,7,69,3.14,22,LSB 80  X  75 VER RELATÓRIO  VIT
11,Vitória,Liga Sorocabana,09/11/2017 20:00,fora,1º TURNO,Equipe,18,69,40,74,17,22,7,25,32,14,6,0,20,19,8,1,46,46,25,60,75,165,69.0,-5.0,derrota,6,69,3.83,18,LSB 80  X  75 VER RELATÓRIO  VIT
12,Mogi das Cruzes,Fortaleza Basquete,09/11/2017 20:00,casa,1º TURNO,Equipe,42,90,26,60,12,14,6,27,33,23,8,1,14,15,14,1,35,30,26,60,80,164,73.0,18.0,vitória,7,74,3.7,20,MOG 80  X  62 VER RELATÓRIO  CEA
13,Fortaleza Basquete,Mogi das Cruzes,09/11/2017 20:00,fora,1º TURNO,Equipe,18,78,40,74,4,5,9,29,38,16,10,2,15,14,19,1,30,25,25,63,62,157,75.0,-18.0,derrota,5,74,3.7,20,MOG 80  X  62 VER RELATÓRIO  CEA
14,Sesi Franca,Paulistano,10/11/2017 20:10,casa,1º TURNO,Equipe,18,42,56,90,23,30,5,30,35,18,5,4,25,26,14,2,36,31,32,59,97,162,80.0,24.0,vitória,9,80,4.0,20,FRA 97  X  73 VER RELATÓRIO  CAP
15,Paulistano,Sesi Franca,10/11/2017 20:10,fora,1º TURNO,Equipe,36,111,22,64,15,17,14,22,36,13,4,6,29,24,17,3,33,28,20,69,73,192,80.0,-24.0,derrota,4,79,3.95,20,FRA 97  X  73 VER RELATÓRIO  CAP
16,Mogi das Cruzes,Vitória,11/11/2017 14:00,casa,1º TURNO,Equipe,30,81,34,78,16,20,13,24,37,18,11,1,17,20,13,1,43,38,26,66,80,179,75.0,5.0,vitória,3,71,3.23,22,MOG 80  X  75 VER RELATÓRIO  VIT
17,Vitória,Mogi das Cruzes,11/11/2017 14:00,fora,1º TURNO,Equipe,18,72,42,76,15,17,12,26,38,17,12,1,21,17,18,3,25,20,24,62,75,165,76.0,-5.0,derrota,6,71,3.94,18,MOG 80  X  75 VER RELATÓRIO  VIT
18,Paulistano,Flamengo,14/11/2017 19:30,casa,1º TURNO,Equipe,30,72,34,74,8,11,9,27,36,21,7,1,15,16,18,3,37,36,24,61,72,157,75.0,5.0,vitória,7,73,3.84,19,CAP 72  X  67 VER RELATÓRIO  FLA
19,Flamengo,Paulistano,14/11/2017 19:30,fora,1º TURNO,Equipe,15,54,44,100,8,13,14,25,39,17,8,4,16,15,14,2,31,31,25,68,67,167,73.0,-5.0,derrota,4,73,3.65,20,CAP 72  X  67 VER RELATÓRIO  FLA
20,Vasco da Gama,Pinheiros,14/11/2017 20:00,casa,1º TURNO,Equipe,33,99,26,52,12,18,5,26,31,18,2,3,23,14,14,1,25,19,23,59,71,169,76.0,-11.0,derrota,3,74,4.11,18,VAS 71  X  82 VER RELATÓRIO  PIN
21,Pinheiros,Vasco da Gama,14/11/2017 20:00,fora,1º TURNO,Equipe,9,48,54,102,19,21,12,30,42,19,8,2,17,22,8,2,27,22,28,67,82,171,72.0,11.0,vitória,8,75,3.41,22,VAS 71  X  82 VER RELATÓRIO  PIN
22,VipTech CMB,Minas,14/11/2017 20:15,casa,1º TURNO,Equipe,21,66,40,82,8,9,7,24,31,13,9,0,21,10,15,3,59,54,24,63,69,157,75.0,-8.0,derrota,3,74,3.89,19,CMO 69  X  77 VER RELATÓRIO  MIN
23,Minas,VipTech CMB,14/11/2017 20:15,fora,1º TURNO,Equipe,33,84,34,64,10,13,9,28,37,15,6,1,10,21,17,4,31,26,24,60,77,161,74.0,8.0,vitória,7,73,3.48,21,CMO 69  X  77 VER RELATÓRIO  MIN
24,Joinville   AABJ ,Sesi Franca,15/11/2017 13:00,casa,1º TURNO,Equipe,15,66,46,100,5,10,10,29,39,12,13,2,12,17,10,3,18,23,25,72,66,176,76.0,7.0,vitória,6,77,3.85,20,JLE 66  X  59 VER RELATÓRIO  FRA
25,Sesi Franca,Joinville   AABJ ,15/11/2017 13:00,fora,1º TURNO,Equipe,15,66,38,76,6,9,9,37,46,13,7,2,17,12,25,1,31,36,23,60,59,151,79.0,-7.0,derrota,4,77,3.85,20,JLE 66  X  59 VER RELATÓRIO  FRA
26,KTO Caxias do Sul,Bauru,15/11/2017 15:00,casa,1º TURNO,Equipe,9,63,44,86,17,25,9,27,36,9,8,0,24,21,6,3,21,21,22,64,70,174,71.0,1.0,vitória,6,70,3.33,21,CAX 70  X  69 VER RELATÓRIO  BAU
27,Bauru,KTO Caxias do Sul,15/11/2017 15:00,fora,1º TURNO,Equipe,21,81,34,52,14,18,6,31,37,12,4,2,22,23,15,1,31,31,23,53,69,151,69.0,-1.0,derrota,2,69,3.63,19,CAX 70  X  69 VER RELATÓRIO  BAU
28,Paulistano,Minas,16/11/2017 20:00,casa,1º TURNO,Equipe,39,108,40,68,14,18,12,26,38,25,9,1,21,18,17,3,41,53,30,70,93,194,82.0,7.0,vitória,7,78,3.39,23,CAP 93  X  86 VER RELATÓRIO  MIN
29,Minas,Paulistano,16/11/2017 20:00,fora,1º TURNO,Equipe,36,75,34,78,16,20,9,23,32,19,10,0,21,21,14,2,36,46,27,64,86,173,77.0,-7.0,derrota,8,78,3.55,22,CAP 93  X  86 VER RELATÓRIO  MIN
30,Vasco da Gama,Liga Sorocabana,16/11/2017 20:00,casa,1º TURNO,Equipe,12,78,42,70,22,25,12,28,40,21,6,8,17,22,17,3,42,37,22,61,76,173,76.0,8.0,vitória,7,76,4.22,18,VAS 76  X  68 VER RELATÓRIO  LSB
31,Liga Sorocabana,Vasco da Gama,16/11/2017 20:00,fora,1º TURNO,Equipe,15,69,42,84,11,19,13,25,38,19,6,3,23,15,17,3,45,40,23,65,68,172,77.0,-8.0,derrota,6,76,3.45,22,VAS 76  X  68 VER RELATÓRIO  LSB
32,Botafogo,Pinheiros,16/11/2017 20:00,casa,1º TURNO,Equipe,30,90,34,90,9,11,13,21,34,15,7,3,25,18,9,0,26,21,27,75,73,191,75.0,-8.0,derrota,6,73,3.65,20,BOT 73  X  81 VER RELATÓRIO  PIN
33,Pinheiros,Botafogo,16/11/2017 20:00,fora,1º TURNO,Equipe,18,57,46,76,17,21,8,34,42,17,1,1,18,25,14,1,25,20,28,57,81,154,73.0,8.0,vitória,9,72,3.6,20,BOT 73  X  81 VER RELATÓRIO  PIN
34,VipTech CMB,Flamengo,16/11/2017 20:15,casa,1º TURNO,Equipe,21,57,46,84,15,24,11,19,30,18,8,2,22,24,10,1,40,35,29,61,82,165,69.0,-7.0,derrota,7,70,3.68,19,CMO 82  X  89 VER RELATÓRIO  FLA
35,Flamengo,VipTech CMB,16/11/2017 20:15,fora,1º TURNO,Equipe,27,78,46,78,16,19,14,25,39,17,1,3,24,20,12,0,25,20,32,65,89,175,71.0,7.0,vitória,8,71,3.38,21,CMO 82  X  89 VER RELATÓRIO  FLA
36,Joinville   AABJ ,Bauru,17/11/2017 20:00,casa,1º TURNO,Equipe,24,66,32,84,15,22,10,16,26,12,11,0,18,16,10,2,23,33,22,64,71,172,74.0,-26.0,derrota,5,69,3.14,22,JLE 71  X  97 VER RELATÓRIO  BAU
37,Bauru,Joinville   AABJ ,17/11/2017 20:00,fora,1º TURNO,Equipe,33,63,46,64,18,21,5,31,36,20,6,1,16,18,17,3,28,38,31,53,97,148,73.0,26.0,vitória,9,70,3.89,18,JLE 71  X  97 VER RELATÓRIO  BAU
38,KTO Caxias do Sul,Sesi Franca,17/11/2017 20:05,casa,1º TURNO,Equipe,21,75,42,82,17,27,10,27,37,14,13,3,25,23,12,0,25,20,28,66,80,184,79.0,-6.0,derrota,5,79,3.59,22,CAX 80  X  86 VER RELATÓRIO  FRA
39,Sesi Franca,KTO Caxias do Sul,17/11/2017 20:05,fora,1º TURNO,Equipe,18,81,46,86,22,27,16,34,50,17,5,1,25,24,16,1,38,33,28,70,86,194,80.0,6.0,vitória,5,79,3.43,23,CAX 80  X  86 VER RELATÓRIO  FRA
40,Botafogo,Liga Sorocabana,18/11/2017 11:00,casa,1º TURNO,Equipe,18,63,28,72,24,30,8,29,37,14,4,1,23,26,16,1,34,29,19,57,70,165,78.0,6.0,vitória,5,73,3.84,19,BOT 70  X  64 VER RELATÓRIO  LSB
41,Liga Sorocabana,Botafogo,18/11/2017 11:00,fora,1º TURNO,Equipe,12,48,32,78,20,26,8,30,38,12,5,3,27,23,15,0,45,40,20,55,64,152,74.0,-6.0,derrota,3,73,3.65,20,BOT 70  X  64 VER RELATÓRIO  LSB
42,Vasco da Gama,Mogi das Cruzes,18/11/2017 14:00,casa,1º TURNO,Equipe,18,69,44,86,13,21,12,23,35,19,8,3,25,21,10,0,25,20,28,66,75,176,73.0,-7.0,derrota,5,70,3.68,19,VAS 75  X  82 VER RELATÓRIO  MOG
43,Mogi das Cruzes,Vasco da Gama,18/11/2017 14:00,fora,1º TURNO,Equipe,27,75,40,82,15,20,12,30,42,19,8,3,22,24,10,0,35,30,29,66,82,177,73.0,7.0,vitória,6,70,3.33,21,VAS 75  X  82 VER RELATÓRIO  MOG
44,Pinheiros,Fortaleza Basquete,19/11/2017 19:00,casa,1º TURNO,Equipe,33,75,40,96,19,26,13,26,39,22,13,2,24,23,6,1,25,20,30,73,92,197,77.0,13.0,vitória,8,74,3.7,20,PIN 92  X  79 VER RELATÓRIO  CEA
45,Fortaleza Basquete,Pinheiros,19/11/2017 19:00,fora,1º TURNO,Equipe,33,60,34,80,12,21,10,31,41,18,3,5,23,23,16,0,26,21,28,60,79,161,73.0,-13.0,derrota,7,73,3.65,20,PIN 92  X  79 VER RELATÓRIO  CEA
46,Botafogo,Mogi das Cruzes,21/11/2017 19:30,casa,1º TURNO,Equipe,33,63,24,66,8,16,9,24,33,19,13,0,18,16,20,1,28,22,22,54,65,145,72.0,-5.0,derrota,3,73,3.84,19,BOT 65  X  70 VER RELATÓRIO  MOG
47,Mogi das Cruzes,Botafogo,21/11/2017 19:30,fora,1º TURNO,Equipe,24,72,34,64,12,15,8,26,34,16,13,2,17,17,20,4,30,25,21,56,70,151,75.0,5.0,vitória,4,72,3.43,21,BOT 65  X  70 VER RELATÓRIO  MOG
48,VipTech CMB,KTO Caxias do Sul,22/11/2017 19:30,casa,1º TURNO,Equipe,21,54,24,62,18,21,7,18,25,11,6,1,18,21,15,1,36,31,18,49,63,137,66.0,-21.0,derrota,1,69,3.63,19,CMO 63  X  84 VER RELATÓRIO  CAX
49,KTO Caxias do Sul,VipTech CMB,22/11/2017 19:30,fora,1º TURNO,Equipe,33,69,44,82,7,15,15,23,38,14,8,0,21,18,12,0,24,19,33,64,84,166,67.0,21.0,vitória,7,69,3.29,21,CMO 63  X  84 VER RELATÓRIO  CAX
50,Minas,Botafogo,25/11/2017 14:00,casa,1º TURNO,Equipe,24,72,44,78,6,12,10,33,43,23,8,9,20,14,16,5,37,32,25,63,74,162,74.0,18.0,vitória,6,70,3.68,19,MIN 74  X  56 VER RELATÓRIO  BOT
51,Botafogo,Minas,25/11/2017 14:00,fora,1º TURNO,Equipe,9,57,30,92,17,23,18,23,41,10,10,2,14,21,13,0,24,19,18,65,56,172,68.0,-18.0,derrota,3,70,3.5,20,MIN 74  X  56 VER RELATÓRIO  BOT
52,Minas,KTO Caxias do Sul,28/11/2017 19:30,casa,1º TURNO,Equipe,42,93,28,48,16,18,6,36,42,23,7,5,21,23,24,6,29,24,22,55,86,159,81.0,2.0,vitória,5,80,3.64,22,MIN 86  X  84 VER RELATÓRIO  CAX
53,KTO Caxias do Sul,Minas,28/11/2017 19:30,fora,1º TURNO,Equipe,33,87,34,102,17,19,16,19,35,18,15,1,23,19,10,2,25,20,26,80,84,208,82.0,-2.0,derrota,6,80,3.48,23,MIN 86  X  84 VER RELATÓRIO  CAX
54,Vitória,Botafogo,29/11/2017 21:00,casa,1º TURNO,Equipe,33,84,42,72,11,13,12,20,32,24,7,1,21,17,19,4,29,24,28,64,86,169,77.0,10.0,vitória,7,69,3.45,20,VIT 86  X  76 VER RELATÓRIO  BOT
55,Botafogo,Vitória,29/11/2017 21:00,fora,1º TURNO,Equipe,24,66,38,80,14,18,11,16,27,19,9,0,19,21,17,0,24,19,27,62,76,164,76.0,-10.0,derrota,5,70,3.5,20,VIT 86  X  76 VER RELATÓRIO  BOT
56,Flamengo,KTO Caxias do Sul,30/11/2017 19:30,casa,1º TURNO,Equipe,21,66,44,78,14,17,7,35,42,22,3,4,31,20,12,1,29,24,28,61,79,161,73.0,10.0,vitória,6,72,3.79,19,FLA 79  X  69 VER RELATÓRIO  CAX
